"Country or Area","Year","Value"
"Hungary","1995","4755.33764576657"
"Hungary","1994","5586.14667372579"
"Hungary","1993","4633.1756890263"
"Hungary","1992","4449.54753566456"
"Hungary","1991","5703.7805067617"
"Hungary","1990","8384.05545721663"
"Iceland","2019","296.024276467984"
"Iceland","2018","307.092437378196"
"Iceland","2017","321.984479299213"
"Iceland","2016","311.290631227837"
"Iceland","2015","313.052656901803"
"Iceland","2014","330.527763115188"
"Iceland","2013","302.797674708072"
"Iceland","2012","308.942233903857"
"Iceland","2011","302.296824675148"
"Iceland","2010","305.63945726439"
"Iceland","2009","317.301755978797"
"Iceland","2008","340.774389886179"
"Iceland","2007","334.100238906813"
"Iceland","2006","321.604479956423"
"Iceland","2005","311.127182309275"
"Iceland","2004","309.098202682311"
"Iceland","2003","307.432719031738"
"Iceland","2002","312.888796962438"
"Iceland","2001","337.827192821439"
"Iceland","2000","342.589653635288"
"Iceland","1999","363.130439116024"
"Iceland","1998","354.150657316302"
"Iceland","1997","353.344063788244"
"Iceland","1996","359.154499336968"
"Iceland","1995","343.219308216294"
"Iceland","1994","348.741593441304"
"Iceland","1993","342.979940649138"
"Iceland","1992","334.376965300925"
"Iceland","1991","349.241101836803"
"Iceland","1990","356.842923751797"
"Ireland","2019","6855.32826019597"
"Ireland","2018","7253.91359725169"
"Ireland","2017","6909.60859883282"
"Ireland","2016","6575.70733308571"
"Ireland","2015","6471.14605399194"
"Ireland","2014","6409.64697294112"
"Ireland","2013","6680.60061546915"
"Ireland","2012","6264.68853304692"
"Ireland","2011","6026.80790491324"
"Ireland","2010","6451.02121967544"
"Ireland","2009","6197.65819508884"
"Ireland","2008","6386.88158965364"
"Ireland","2007","6432.35239024351"
"Ireland","2006","6681.26538347781"
"Ireland","2005","6891.75343816881"
"Ireland","2004","7017.31211445292"
"Ireland","2003","7152.17125554316"
"Ireland","2002","7249.92955045387"
"Ireland","2001","7579.92395711497"
"Ireland","2000","8054.63844541378"
"Ireland","1999","8351.60485307481"
"Ireland","1998","8577.99639688099"
"Ireland","1997","8138.59292937344"
"Ireland","1996","8229.487664002"
"Ireland","1995","8105.6742836603"
"Ireland","1994","7791.20298174588"
"Ireland","1993","7513.91619695924"
"Ireland","1992","7380.88095179318"
"Ireland","1991","7445.57832834381"
"Ireland","1990","7670.06377651251"
"Italy","2019","17227.3771828777"
"Italy","2018","17462.309380458"
"Italy","2017","17739.6365123087"
"Italy","2016","17828.2884922618"
"Italy","2015","17473.7225146625"
"Italy","2014","17458.5750598154"
"Italy","2013","17932.1070063978"
"Italy","2012","18757.6421760169"
"Italy","2011","18380.1006445034"
"Italy","2010","18967.7288560759"
"Italy","2009","19759.1433449312"
"Italy","2008","20703.2986274277"
"Italy","2007","22197.8081898331"
"Italy","2006","22677.115883611"
"Italy","2005","27548.5725166154"
"Italy","2004","28742.0947765353"
"Italy","2003","27961.4560752344"
"Italy","2002","28111.182567307"
"Italy","2001","28740.7256232447"
"Italy","2000","28505.3185624012"
"Italy","1999","29565.8356861326"
"Italy","1998","28997.2959403607"
"Italy","1997","28722.6296867491"
"Italy","1996","27743.6871225283"
"Italy","1995","27630.8891086615"
"Italy","1994","26547.9794894524"
"Italy","1993","27076.2911158217"
"Italy","1992","26639.0138389033"
"Italy","1991","27103.251383971"
"Italy","1990","26080.2427625775"
"Japan","2019","19795.1445775396"
"Japan","2018","20128.5686095986"
"Japan","2017","20489.8004691939"
"Japan","2016","20178.5295792702"
"Japan","2015","20685.5748816222"
"Japan","2014","20991.4146473199"
"Japan","2013","21405.6164056742"
"Japan","2012","21404.425769008"
"Japan","2011","21744.9920715928"
"Japan","2010","22174.0757469119"
"Japan","2009","22742.8619789325"
"Japan","2008","23389.5908780374"
"Japan","2007","24206.7597453201"
"Japan","2006","24844.1036583863"
"Japan","2005","24970.4834989616"
"Japan","2004","25352.6443665314"
"Japan","2003","25526.0659595823"
"Japan","2002","25687.9131036318"
"Japan","2001","26244.7949429291"
"Japan","2000","29863.9141484435"
"Japan","1999","27347.7387985145"
"Japan","1998","33492.9785194127"
"Japan","1997","35073.8104478604"
"Japan","1996","34266.4354904665"
"Japan","1995","33135.0571429523"
"Japan","1994","32824.5832586635"
"Japan","1993","31566.6869227979"
"Japan","1992","31700.3529815963"
"Japan","1991","31529.9100067223"
"Japan","1990","31825.1272707128"
"Latvia","2019","1443.84448984124"
"Latvia","2018","1360.05968016249"
"Latvia","2017","1413.72988135557"
"Latvia","2016","1402.46079972223"
"Latvia","2015","1404.07456672165"
"Latvia","2014","1355.54153832515"
"Latvia","2013","1313.91817211682"
"Latvia","2012","1288.61205658538"
"Latvia","2011","1222.10946989229"
"Latvia","2010","1222.1377844101"
"Latvia","2009","1192.26691662846"
"Latvia","2008","1167.65911063759"
"Latvia","2007","1190.97462274682"
"Latvia","2006","1140.50525193624"
"Latvia","2005","1139.28656886718"
"Latvia","2004","1101.227646469"
"Latvia","2003","1116.23430199731"
"Latvia","2002","1069.24093973459"
"Latvia","2001","1105.02771174737"
"Latvia","2000","1027.15347666663"
"Latvia","1999","1012.5004313348"
"Latvia","1998","1075.18070790366"
"Latvia","1997","1121.5836986794"
"Latvia","1996","1118.51550481664"
"Latvia","1995","1117.01811052911"
"Latvia","1994","1270.3983287262"
"Latvia","1993","1498.70253440385"
"Latvia","1992","1922.51376929551"
"Latvia","1991","2476.23713106744"
"Latvia","1990","2582.7737507809"
"Liechtenstein","2019","9.3139846437927"
"Liechtenstein","2018","9.16993630929234"
"Liechtenstein","2017","8.98409058117622"
"Liechtenstein","2016","9.0254265183322"
"Liechtenstein","2015","9.17851055836654"
"Liechtenstein","2014","9.1313771223479"
"Liechtenstein","2013","9.23155997573834"
"Liechtenstein","2012","9.5394510425655"
"Liechtenstein","2011","9.67300383779176"
"Liechtenstein","2010","9.28752705036582"
"Liechtenstein","2009","9.51395102615722"
"Liechtenstein","2008","9.59529116483622"
"Liechtenstein","2007","9.41590601023034"
"Liechtenstein","2006","9.34216675828768"
"Liechtenstein","2005","9.14568374162784"
"Liechtenstein","2004","9.02246597457042"
"Liechtenstein","2003","9.60265037727372"
"Liechtenstein","2002","9.61195450362272"
"Liechtenstein","2001","9.50813474079346"
"Liechtenstein","2000","9.50185411643082"
"Liechtenstein","1999","9.59360160438312"
"Liechtenstein","1998","9.83357977130978"
"Liechtenstein","1997","10.1788695750774"
"Liechtenstein","1996","10.1113484863488"
"Liechtenstein","1995","10.1872487386364"
"Liechtenstein","1994","10.2537800306759"
"Liechtenstein","1993","10.2916783164685"
"Liechtenstein","1992","10.5076283087205"
"Liechtenstein","1991","10.5458878221267"
"Liechtenstein","1990","10.2951772094334"
"Lithuania","2019","2918.97420010795"
"Lithuania","2018","2867.74403740967"
"Lithuania","2017","3013.92120078231"
"Lithuania","2016","2966.08182041424"
"Lithuania","2015","3032.63593937992"
"Lithuania","2014","3012.29075474511"
"Lithuania","2013","2862.56625837311"
"Lithuania","2012","3101.50602720541"
"Lithuania","2011","3283.71703319587"
"Lithuania","2010","2929.45727466175"
"Lithuania","2009","3013.10578696111"
"Lithuania","2008","5080.17574108185"
"Lithuania","2007","5345.49309116314"
"Lithuania","2006","4552.38562002146"
"Lithuania","2005","4606.37685465823"
"Lithuania","2004","4344.93096563384"
"Lithuania","2003","4155.59638365904"
"Lithuania","2002","4051.83200865126"
"Lithuania","2001","3813.58005677907"
"Lithuania","2000","3684.22488811683"
"Lithuania","1999","3473.82735075453"
"Lithuania","1998","3506.97972269309"
"Lithuania","1997","3260.7476316099"
"Lithuania","1996","3145.77346951435"
"Lithuania","1995","2702.66272410091"
"Lithuania","1994","2733.691127478"
"Lithuania","1993","3064.60984226098"
"Lithuania","1992","3540.45251820721"
"Lithuania","1991","5199.52068911999"
"Lithuania","1990","5079.06555234223"
"Luxembourg","2019","336.597671982971"
"Luxembourg","2018","330.943832644538"
"Luxembourg","2017","330.234402773385"
"Luxembourg","2016","325.809083268489"
"Luxembourg","2015","315.085505455054"
"Luxembourg","2014","316.456396137717"
"Luxembourg","2013","312.770987973575"
"Luxembourg","2012","312.493704163046"
"Luxembourg","2011","316.497431501545"
"Luxembourg","2010","313.924586904358"
"Luxembourg","2009","305.038359869804"
"Luxembourg","2008","307.335185190376"
"Luxembourg","2007","299.677529300441"
"Luxembourg","2006","293.640324710831"
"Luxembourg","2005","294.309955995115"
"Luxembourg","2004","310.293438175687"
"Luxembourg","2003","284.887190522962"
"Luxembourg","2002","305.94095774506"
"Luxembourg","2001","309.149402830481"
"Luxembourg","2000","326.633663324261"
"Luxembourg","1999","326.667153677181"
"Luxembourg","1998","322.309338342815"
"Luxembourg","1997","325.857695499231"
"Luxembourg","1996","329.16815075366"
"Luxembourg","1995","326.235364904373"
"Luxembourg","1994","325.717291941915"
"Luxembourg","1993","330.529720769073"
"Luxembourg","1992","336.490769801219"
"Luxembourg","1991","329.373614312638"
"Luxembourg","1990","318.471031051536"
"Malta","2019","46.2136048093944"
"Malta","2018","45.923066225545"
"Malta","2017","44.6627166202959"
"Malta","2016","46.9109811297793"
"Malta","2015","48.2480251361849"
"Malta","2014","48.6309866307321"
"Malta","2013","48.0358268990524"
"Malta","2012","48.724011156018"
"Malta","2011","48.5351684120691"
"Malta","2010","55.7469763440038"
"Malta","2009","56.0850109773941"
"Malta","2008","60.1169879029823"
"Malta","2007","63.621401190968"
"Malta","2006","63.0484395171849"
"Malta","2005","62.1722341184071"
"Malta","2004","62.6913696326391"
"Malta","2003","62.5370047711568"
"Malta","2002","63.3998244856827"
"Malta","2001","64.621948969205"
"Malta","2000","66.1359937187321"
"Malta","1999","63.8883760815796"
"Malta","1998","65.8887470095333"
"Malta","1997","64.3841610603408"
"Malta","1996","63.4012103087031"
"Malta","1995","65.8420473434679"
"Malta","1994","64.9081456883133"
"Malta","1993","65.7326604531524"
"Malta","1992","62.949827549708"
"Malta","1991","61.9292226291752"
"Malta","1990","61.3845257456334"
"Monaco","2019","2.86559155034102"
"Monaco","2018","3.09636738095706"
"Monaco","2017","2.8857620255621"
"Monaco","2016","3.41729268725298"
"Monaco","2015","3.67249242505584"
"Monaco","2014","3.70431740152772"
"Monaco","2013","4.07448992473136"
"Monaco","2012","3.949742853998"
"Monaco","2011","3.97344892647146"
"Monaco","2010","4.12850193301646"
"Monaco","2009","4.09905093514132"
"Monaco","2008","3.8314054800067"
