"Country or Area","Year","Value"
"Hungary","2001","10437.7914911491"
"Hungary","2000","10572.2819014489"
"Hungary","1999","10562.5511950387"
"Hungary","1998","10546.6142900376"
"Hungary","1997","10691.5639052685"
"Hungary","1996","10866.2471326506"
"Hungary","1995","10736.817109539"
"Hungary","1994","10768.3693771798"
"Hungary","1993","11079.3422083142"
"Hungary","1992","11382.7849803379"
"Hungary","1991","12602.4210138677"
"Hungary","1990","12789.3013695264"
"Iceland","2019","569.24766884167"
"Iceland","2018","608.567437749261"
"Iceland","2017","609.354432634941"
"Iceland","2016","620.843730918864"
"Iceland","2015","629.81176525413"
"Iceland","2014","624.932824896146"
"Iceland","2013","614.119692639703"
"Iceland","2012","611.526818941052"
"Iceland","2011","635.425262379669"
"Iceland","2010","654.549532807278"
"Iceland","2009","665.105711130984"
"Iceland","2008","672.885842336432"
"Iceland","2007","685.778112460515"
"Iceland","2006","679.170794699917"
"Iceland","2005","646.588811891549"
"Iceland","2004","658.128944694647"
"Iceland","2003","662.762785184919"
"Iceland","2002","673.00047236924"
"Iceland","2001","667.038198772827"
"Iceland","2000","656.908337831491"
"Iceland","1999","658.403219608638"
"Iceland","1998","651.840546244688"
"Iceland","1997","652.317229034711"
"Iceland","1996","648.467528542875"
"Iceland","1995","628.753296085594"
"Iceland","1994","629.002892980521"
"Iceland","1993","620.798882190759"
"Iceland","1992","606.646326060881"
"Iceland","1991","598.327751292862"
"Iceland","1990","601.553944281069"
"Ireland","2019","14730.5229060381"
"Ireland","2018","15139.336194749"
"Ireland","2017","14825.5107000451"
"Ireland","2016","14423.092365672"
"Ireland","2015","14037.5944475404"
"Ireland","2014","13511.9764890265"
"Ireland","2013","13439.1196611993"
"Ireland","2012","13155.7693116444"
"Ireland","2011","12523.8487533081"
"Ireland","2010","12576.6641720859"
"Ireland","2009","12827.1297740719"
"Ireland","2008","13190.7116890368"
"Ireland","2007","13320.5400536733"
"Ireland","2006","14156.1715148967"
"Ireland","2005","14019.7299826424"
"Ireland","2004","14202.8101024995"
"Ireland","2003","15212.3246125824"
"Ireland","2002","14521.1979568107"
"Ireland","2001","14519.8569491073"
"Ireland","2000","14386.9051284177"
"Ireland","1999","14879.6768447261"
"Ireland","1998","15282.8833439814"
"Ireland","1997","14958.5658252395"
"Ireland","1996","14880.5731509192"
"Ireland","1995","14556.6775424591"
"Ireland","1994","14436.6499645402"
"Ireland","1993","14404.0333786685"
"Ireland","1992","14256.7417429193"
"Ireland","1991","14041.6923699373"
"Ireland","1990","13752.057718874"
"Italy","2019","42967.2854088549"
"Italy","2018","43472.1542769535"
"Italy","2017","44023.7150380621"
"Italy","2016","43793.8020627844"
"Italy","2015","44059.2996914522"
"Italy","2014","43995.3365258113"
"Italy","2013","44965.3134343278"
"Italy","2012","46421.7981633345"
"Italy","2011","45862.1623284737"
"Italy","2010","47339.0580825568"
"Italy","2009","47786.0080118245"
"Italy","2008","47863.3837902921"
"Italy","2007","48382.616215056"
"Italy","2006","47653.0031937797"
"Italy","2005","49098.2230008617"
"Italy","2004","48575.271864007"
"Italy","2003","50774.2954832"
"Italy","2002","50527.8198269769"
"Italy","2001","52205.6123870778"
"Italy","2000","51847.8322950192"
"Italy","1999","51937.8107686884"
"Italy","1998","51943.2416285983"
"Italy","1997","52407.1874339564"
"Italy","1996","51854.796301157"
"Italy","1995","51346.9873754702"
"Italy","1994","50714.3528833679"
"Italy","1993","50328.2452031383"
"Italy","1992","50023.3010835708"
"Italy","1991","50203.242439059"
"Italy","1990","49331.2181270254"
"Japan","2019","28416.4699204036"
"Japan","2018","28566.1921665815"
"Japan","2017","28925.752091531"
"Japan","2016","29149.5005696715"
"Japan","2015","29199.8907471327"
"Japan","2014","29542.8216118838"
"Japan","2013","30040.850086025"
"Japan","2012","30089.0106923458"
"Japan","2011","30734.0483642192"
"Japan","2010","31937.5856834406"
"Japan","2009","32370.9081983795"
"Japan","2008","32865.5972449628"
"Japan","2007","33600.6949920822"
"Japan","2006","34156.543721297"
"Japan","2005","34651.1716391609"
"Japan","2004","34591.659416518"
"Japan","2003","34860.3249691462"
"Japan","2002","35665.7819129003"
"Japan","2001","36382.6379211908"
"Japan","2000","37458.3391634076"
"Japan","1999","37995.3961387914"
"Japan","1998","38286.4203554792"
"Japan","1997","39915.6539477831"
"Japan","1996","40280.5083825712"
"Japan","1995","41464.3056566947"
"Japan","1994","42502.0038507463"
"Japan","1993","42561.4426118324"
"Japan","1992","43454.7777410458"
"Japan","1991","43069.682889895"
"Japan","1990","43828.4797731415"
"Latvia","2019","1771.24071225074"
"Latvia","2018","1767.67645361291"
"Latvia","2017","1850.27673616315"
"Latvia","2016","1818.83259922464"
"Latvia","2015","1794.04352831242"
"Latvia","2014","1891.29614329155"
"Latvia","2013","1843.04508179956"
"Latvia","2012","1819.57559817457"
"Latvia","2011","1773.70494967611"
"Latvia","2010","1822.36933971105"
"Latvia","2009","1886.60772461743"
"Latvia","2008","1867.14199187456"
"Latvia","2007","1876.02928261992"
"Latvia","2006","1827.58744444222"
"Latvia","2005","1875.52644943253"
"Latvia","2004","1827.72784427941"
"Latvia","2003","1858.56197885339"
"Latvia","2002","1944.34931568937"
"Latvia","2001","1970.88389528579"
"Latvia","2000","1885.39345651241"
"Latvia","1999","1887.30501784586"
"Latvia","1998","2021.39332374952"
"Latvia","1997","2108.30507189"
"Latvia","1996","2142.99837719809"
"Latvia","1995","2179.85756617997"
"Latvia","1994","2190.93899328377"
"Latvia","1993","2362.75397771777"
"Latvia","1992","3084.20812959096"
"Latvia","1991","3576.48392839324"
"Latvia","1990","3624.00553280008"
"Liechtenstein","2019","19.612847610402"
"Liechtenstein","2018","18.9497687248745"
"Liechtenstein","2017","18.6891896377248"
"Liechtenstein","2016","19.175326259713"
"Liechtenstein","2015","19.0615840757143"
"Liechtenstein","2014","19.2201662624193"
"Liechtenstein","2013","19.0285591364215"
"Liechtenstein","2012","19.8374428932067"
"Liechtenstein","2011","19.3993283382672"
"Liechtenstein","2010","19.0549454065028"
"Liechtenstein","2009","19.627533172188"
"Liechtenstein","2008","19.7650506489285"
"Liechtenstein","2007","19.5695373421083"
"Liechtenstein","2006","19.3334151928273"
"Liechtenstein","2005","18.554087332169"
"Liechtenstein","2004","18.0654157068098"
"Liechtenstein","2003","17.9672386756975"
"Liechtenstein","2002","17.7934981613203"
"Liechtenstein","2001","17.6107727948957"
"Liechtenstein","2000","16.7292381365795"
"Liechtenstein","1999","17.1669421917933"
"Liechtenstein","1998","17.8574514827455"
"Liechtenstein","1997","17.9735014189767"
"Liechtenstein","1996","18.2661895342768"
"Liechtenstein","1995","17.966058613074"
"Liechtenstein","1994","17.9756974313923"
"Liechtenstein","1993","17.9016868910103"
"Liechtenstein","1992","18.7338301882115"
"Liechtenstein","1991","19.1765194344128"
"Liechtenstein","1990","19.2458852388448"
"Lithuania","2019","2951.93686219014"
"Lithuania","2018","3007.96834022451"
"Lithuania","2017","3206.36052985222"
"Lithuania","2016","3267.5589025516"
"Lithuania","2015","3357.6534608766"
"Lithuania","2014","3401.68688330031"
"Lithuania","2013","3393.41503005009"
"Lithuania","2012","3460.28060744719"
"Lithuania","2011","3451.09660155679"
"Lithuania","2010","3605.06137819556"
"Lithuania","2009","3630.17265846494"
"Lithuania","2008","3714.38149547206"
"Lithuania","2007","3846.40789613615"
"Lithuania","2006","3884.32789216651"
"Lithuania","2005","3885.79521313489"
"Lithuania","2004","3892.756377884"
"Lithuania","2003","3878.85919452942"
"Lithuania","2002","3820.70419232777"
"Lithuania","2001","3759.56453092008"
"Lithuania","2000","3842.69428140763"
"Lithuania","1999","3993.46108182799"
"Lithuania","1998","4229.22251760075"
"Lithuania","1997","4348.31426143424"
"Lithuania","1996","4321.9337409718"
"Lithuania","1995","4401.16709703633"
"Lithuania","1994","4652.20901003711"
"Lithuania","1993","5132.5455340725"
"Lithuania","1992","5875.01419013628"
"Lithuania","1991","6736.55135685726"
"Lithuania","1990","6945.49222629036"
"Luxembourg","2019","582.254204720801"
"Luxembourg","2018","590.944497662482"
"Luxembourg","2017","596.927151768219"
"Luxembourg","2016","589.457637072675"
"Luxembourg","2015","585.262286295275"
"Luxembourg","2014","579.207752625791"
"Luxembourg","2013","566.085879741348"
"Luxembourg","2012","561.696080502689"
"Luxembourg","2011","569.589777164638"
"Luxembourg","2010","594.277901932633"
"Luxembourg","2009","594.629193015497"
"Luxembourg","2008","593.500067956067"
"Luxembourg","2007","583.346785440606"
"Luxembourg","2006","574.167197843405"
"Luxembourg","2005","577.941936034119"
"Luxembourg","2004","579.290068707897"
"Luxembourg","2003","583.563782180655"
"Luxembourg","2002","594.149147005819"
"Luxembourg","2001","593.858007725639"
"Luxembourg","2000","588.18688471399"
"Luxembourg","1999","596.69167922926"
"Luxembourg","1998","591.420848137172"
"Luxembourg","1997","593.617157459876"
"Luxembourg","1996","598.550340450219"
"Luxembourg","1995","589.228306173132"
"Luxembourg","1994","574.07738280014"
"Luxembourg","1993","586.43753116127"
"Luxembourg","1992","581.581408377726"
"Luxembourg","1991","597.157123643198"
"Luxembourg","1990","584.290003966436"
"Malta","2019","201.801034349517"
"Malta","2018","192.176321855167"
"Malta","2017","184.158943160495"
"Malta","2016","187.304264027644"
"Malta","2015","179.295804780713"
"Malta","2014","171.920718233677"
"Malta","2013","156.044680598182"
"Malta","2012","166.879775742034"
"Malta","2011","169.62898283433"
"Malta","2010","182.919808584794"
"Malta","2009","165.929861295165"
"Malta","2008","152.723904621886"
"Malta","2007","234.460252004664"
"Malta","2006","229.935556386733"
"Malta","2005","224.898789940248"
"Malta","2004","220.570861848031"
"Malta","2003","210.521266570587"
"Malta","2002","203.3230142721"
"Malta","2001","196.60663452941"
"Malta","2000","193.397429149468"
"Malta","1999","184.988584939268"
"Malta","1998","177.911156715735"
"Malta","1997","172.780519765346"
"Malta","1996","166.075928919001"
"Malta","1995","158.05784469722"
"Malta","1994","153.342384476444"
"Malta","1993","147.723603063618"
"Malta","1992","140.461982525223"
"Malta","1991","132.923192907332"
"Malta","1990","125.644095069283"
"Monaco","2019","1.077120861427"
"Monaco","2018","1.33462368606275"
"Monaco","2017","1.35589909475625"
"Monaco","2016","1.3332087894275"
"Monaco","2015","1.3554294117945"
"Monaco","2014","1.3088174867895"
"Monaco","2013","1.26952800614625"
"Monaco","2012","1.300595963564"
"Monaco","2011","1.157976993563"
"Monaco","2010","1.254586992043"
"Monaco","2009","1.01773103841625"
"Monaco","2008","1.89546984740075"
"Monaco","2007","1.85420708698375"
"Monaco","2006","1.95361881247075"
"Monaco","2005","1.74046272686125"
"Monaco","2004","1.5926440779115"
